run_id,input_file,output_file,original_name,final_match,replacements
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,mechanical_speed_omega,angular_frequency,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,moment_of_inertia_J,moment_of_inertia,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,pole_pairs_p,number_of_poles,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,power_factor_cos_phi_n,power_factor,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rated_current_In,rated_current,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rated_power_Pn,rated_output_power,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rated_speed_nn,nn_rpm,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rated_voltage_Un,rated_voltage,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rotor_flux_d_psi_dr,magnetic_flux,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rotor_flux_q_psi_qr,locked_rotor_torque,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rotor_inductance_Lr,inductance,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,rotor_resistance_Rr,resistance,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,slip_frequency_omega_sl,slip_ratio,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,stator_current_d_ids,locked_rotor_current,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,stator_current_q_iqs,locked_rotor_current,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,stator_inductance_Ls,stator_inductance,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,stator_resistance_Rs,resistance,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,stator_voltage_d_ud,rated_voltage,2
run_2026-02-26_150924,filip.ttl,filip_corrected.ttl,stator_voltage_q_uq,rated_voltage,2
