source_file,original_name,final_match
filip.ttl,mechanical_speed_omega,angular_frequency
filip.ttl,moment_of_inertia_J,moment_of_inertia
filip.ttl,pole_pairs_p,number_of_poles
filip.ttl,power_factor_cos_phi_n,power_factor
filip.ttl,rated_current_In,rated_current
filip.ttl,rated_power_Pn,rated_output_power
filip.ttl,rated_speed_nn,nn_rpm
filip.ttl,rated_voltage_Un,rated_voltage
filip.ttl,rotor_flux_d_psi_dr,magnetic_flux
filip.ttl,rotor_flux_q_psi_qr,locked_rotor_torque
filip.ttl,rotor_inductance_Lr,inductance
filip.ttl,rotor_resistance_Rr,resistance
filip.ttl,slip_frequency_omega_sl,slip_ratio
filip.ttl,stator_current_d_ids,locked_rotor_current
filip.ttl,stator_current_q_iqs,locked_rotor_current
filip.ttl,stator_inductance_Ls,stator_inductance
filip.ttl,stator_resistance_Rs,resistance
filip.ttl,stator_voltage_d_ud,rated_voltage
filip.ttl,stator_voltage_q_uq,rated_voltage
