file,original_name,best_match,confidence,status,reason,method,top_sim,margin,top_candidates
hinkkanen.ttl,electromagnetic_torque_Te,,0.0,SKIPPED_NOT_IN_STANDARD,Skipped (Not found in standard / not defined in ontology),SKIP_LIST,0.0,0.0,[]
hinkkanen.ttl,rated_power_Pn,rated_output_power,0.54,ACCEPT,"The OEM variable 'rated_power_Pn' most closely matches the ontology candidate 'rated_output_power' based on the highest similarity score (0.54). Both refer to the rated or nominal output power of a motor, and the ontology candidate specifies the unit (kW) and source (IEC 60034-1:2022), which aligns with typical usage of 'Pn' in OEM datasets.",LLM,0.5395610928535461,0.04306104779243469,"[{""id"": ""rated_output_power"", ""sim"": 0.5396}, {""id"": ""output_power"", ""sim"": 0.4965}, {""id"": ""input_power"", ""sim"": 0.4812}, {""id"": ""power_factor"", ""sim"": 0.4785}, {""id"": ""power"", ""sim"": 0.4741}]"
hinkkanen.ttl,rated_voltage_Un,rated_voltage,0.5399122834205627,ACCEPT,"Auto by margin (top_sim=0.540, margin=0.092)",AUTO_MARGIN,0.5399122834205627,0.0915575623512268,"[{""id"": ""rated_voltage"", ""sim"": 0.5399}, {""id"": ""rated_output_power"", ""sim"": 0.4484}, {""id"": ""rated_current"", ""sim"": 0.4446}, {""id"": ""output_power"", ""sim"": 0.3947}, {""id"": ""power_factor"", ""sim"": 0.3945}]"
hinkkanen.ttl,rated_frequency_fn,,0.44204026460647583,HUMAN_REVIEW,Low similarity (top_sim=0.442 < MIN_SIM=0.45),LOW_SIM,0.44204026460647583,0.00887957215309143,"[{""id"": ""angular_frequency"", ""sim"": 0.442}, {""id"": ""frequency"", ""sim"": 0.4332}, {""id"": ""rotational_frequency"", ""sim"": 0.4079}, {""id"": ""rated_voltage"", ""sim"": 0.3853}, {""id"": ""naturalFrequency_Hz"", ""sim"": 0.3754}]"
hinkkanen.ttl,rated_speed_n_rated,rated_current,0.51,ACCEPT,"The variable 'rated_speed_n_rated' most likely refers to the rated speed of a motor, typically measured in rpm. Among the candidates, none directly reference 'rated speed' or 'rpm' except 'nn_rpm', which has a lower similarity score (0.45) and is associated with a Propeller rather than a Motor. The highest similarity score is for 'rated_current', but its property is for current (A), not speed. Therefore, while 'rated_current' is the best match by score, it is not semantically correct. No candidate directly matches 'rated_speed_n_rated', so the mapping is uncertain and confidence is low.",LLM,0.5051589608192444,0.0019057989120483398,"[{""id"": ""rated_current"", ""sim"": 0.5052}, {""id"": ""rated_voltage"", ""sim"": 0.5033}, {""id"": ""rated_output_power"", ""sim"": 0.5012}, {""id"": ""nn_rpm"", ""sim"": 0.4465}, {""id"": ""ratedTorque_kNm"", ""sim"": 0.4455}]"
hinkkanen.ttl,rated_current_In,rated_current,0.95,ACCEPT,"The OEM variable 'rated_current_In' closely matches the ontology candidate 'rated_current' based on both semantic similarity (highest sim score: 0.5465) and context. Both refer to the rated current of a motor, with matching units (A) and reference to IEC 60034-1:2022. No other candidate is as relevant.",LLM,0.5465107560157776,0.04805248975753784,"[{""id"": ""rated_current"", ""sim"": 0.5465}, {""id"": ""rated_voltage"", ""sim"": 0.4985}, {""id"": ""rated_output_power"", ""sim"": 0.4956}, {""id"": ""locked_rotor_current"", ""sim"": 0.4725}, {""id"": ""input_power"", ""sim"": 0.4633}]"
hinkkanen.ttl,rated_torque_T_rated,ratedTorque_kNm,0.54,ACCEPT,"The OEM variable 'rated_torque_T_rated' refers to the rated torque, which matches semantically with the ontology property 'ratedTorque_kNm'. This candidate has the highest similarity score (0.541) among the options and its label and context (torque, rated value) align with the OEM variable. The domain (Gearbox or Coupling) may differ, but the property itself is the closest match.",LLM,0.5411089658737183,0.01488351821899414,"[{""id"": ""ratedTorque_kNm"", ""sim"": 0.5411}, {""id"": ""ratedTorque_kNm"", ""sim"": 0.5262}, {""id"": ""breakdown_torque"", ""sim"": 0.5215}, {""id"": ""locked_rotor_torque"", ""sim"": 0.5172}, {""id"": ""rated_output_power"", ""sim"": 0.5135}]"
hinkkanen.ttl,total_moment_of_inertia_J_total,moment_of_inertia,0.5091819167137146,ACCEPT,"Auto by margin (top_sim=0.509, margin=0.126)",AUTO_MARGIN,0.5091819167137146,0.12569096684455872,"[{""id"": ""moment_of_inertia"", ""sim"": 0.5092}, {""id"": ""charpyV_J"", ""sim"": 0.3835}, {""id"": ""inertiaRatio_Ie_It"", ""sim"": 0.3811}, {""id"": ""comp:TorsionalVibrationDamper1"", ""sim"": 0.3704}, {""id"": ""torsionalStiffness_kNmPerRad"", ""sim"": 0.3697}]"
hinkkanen.ttl,stator_resistance_Rs,resistance,0.49,ACCEPT,"The OEM variable 'stator_resistance_Rs' refers specifically to the resistance of the stator winding in a motor. Among the candidates, 'resistance' is the most relevant ontology property, as it is defined for the MotorEquivalentCircuit and uses the correct unit (ohm). The similarity score is the highest among the candidates, though not very high, indicating a moderate match.",LLM,0.4906717836856842,0.0397944450378418,"[{""id"": ""resistance"", ""sim"": 0.4907}, {""id"": ""locked_rotor_current"", ""sim"": 0.4509}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4447}, {""id"": ""copper_losses"", ""sim"": 0.4395}, {""id"": ""winding_temperature_rise_K"", ""sim"": 0.4331}]"
hinkkanen.ttl,rotor_resistance_RR,resistance,0.47,ACCEPT,"The OEM variable 'rotor_resistance_RR' refers to the electrical resistance of the rotor, which aligns conceptually with the ontology candidate 'resistance'. Although the similarity score is moderate (0.47), it is the most relevant among the candidates, as the other options pertain to current, torque, losses, or temperature rise, none of which directly represent rotor resistance.",LLM,0.501102089881897,0.01049572229385376,"[{""id"": ""locked_rotor_current"", ""sim"": 0.5011}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4906}, {""id"": ""resistance"", ""sim"": 0.4707}, {""id"": ""copper_losses"", ""sim"": 0.421}, {""id"": ""winding_temperature_rise_K"", ""sim"": 0.4185}]"
